Title,Year,Runtime,Genre,Rating,Summary
La casa de papel,(2017–2021),70 min,"
Action, Crime, Mystery            ",8.2,"
An unusual group of robbers attempt to carry out the most perfect robbery in Spanish history - stealing 2.4 billion euros from the Royal Mint of Spain."
Titans,(I) (2018– ),45 min,"
Action, Adventure, Crime            ",7.6,"
A team of young superheroes combat evil and other perils."
NCIS: Naval Criminal Investigative Service,(2003– ),60 min,"
Action, Crime, Drama            ",7.7,"
The cases of the Naval Criminal Investigative Service's Washington, D.C. Major Case Response Team, led by Special Agent Leroy Jethro Gibbs."
NCIS: Hawai'i,(2021– ),,"
Action, Crime            ",5.4,"
Follow a team of Naval criminal investigators who operate on the Hawaiian islands."
The Boys,(2019– ),60 min,"
Action, Crime, Drama            ",8.7,"
A group of vigilantes set out to take down corrupt superheroes who abuse their superpowers."
FBI,(2018– ),60 min,"
Action, Crime, Drama            ",6.8,"
Procedural drama about the inner workings of the New York office of the FBI, bringing to bear all the Bureau's skills, intellect and mind-blowing technology to keep New York and the country safe."
Chicago P.D.,(2014– ),43 min,"
Action, Crime, Drama            ",8.1,"
Follows District 21 of the Chicago Police Department, which is made up of two distinctly different groups: the uniformed cops and the Intelligence Unit."
FBI: Most Wanted,(2020– ),45 min,"
Action, Crime, Drama            ",6.7,"
It follows the division of the FBI tasked with tracking and capturing the notorious criminals on the FBI's Most Wanted list."
Outer Banks,(2020– ),50 min,"
Action, Crime, Drama            ",7.6,"
A group of teenagers from the wrong side of the tracks stumble upon a treasure map that unearths a long buried secret."
Hawaii Five-0,(2010–2020),42 min,"
Action, Crime, Drama            ",7.3,"
Steve McGarrett returns home to Oahu in order to find his father's killer; The Governor offers him the chance to run his own task force - Five-0."
Stargirl,(2020– ),566 min,"
Action, Adventure, Crime            ",7.2,"
Teenager Courtney Whitmore joins the Justice Society of America. Based on the character from DC Comics."
Prison Break,(2005–2017),44 min,"
Action, Crime, Drama            ",8.3,"
Due to a political conspiracy, an innocent man is sent to death row and his only hope is his brother, who makes it his mission to deliberately get himself sent to the same prison in order to break the both of them out, from the inside."
S.W.A.T.,(2017– ),43 min,"
Action, Adventure, Crime            ",7.1,"
Follows a locally born and bred S.W.A.T. sergeant and his team of highly-trained men and women as they solve crimes in Los Angeles."
Daredevil,(2015–2018),54 min,"
Action, Crime, Drama            ",8.6,"
A blind lawyer by day, vigilante by night. Matt Murdock fights the crime of New York as Daredevil."
Arrow,(2012–2020),42 min,"
Action, Adventure, Crime            ",7.5,"
Spoiled billionaire playboy Oliver Queen is missing and presumed dead when his yacht is lost at sea. He returns five years later a changed man, determined to clean up the city as a hooded vigilante armed with a bow."
Blindspot,(2015–2020),42 min,"
Action, Crime, Drama            ",7.4,"
Jane Doe is found in Times Square with no memory and mysterious tattoos on her body."
Walker,(2021– ),,"
Action, Crime, Drama            ",6.0,"
A widowed father returns to Austin after one year, attempting to reconnect with his children, navigate clashes with his family, and find common ground with his new partner, while growing increasingly suspicious of his wife's death."
Gotham,(2014–2019),42 min,"
Action, Crime, Drama            ",7.8,"
The story behind Detective James Gordon's rise to prominence in Gotham City in the years before Batman's arrival."
NCIS: Los Angeles,(2009– ),43 min,"
Action, Crime, Drama            ",6.7,"
The Naval Criminal Investigation Service's Office of Special Projects takes on the undercover work and the hard to crack cases in LA. Key agents are G. Callen and Sam Hanna, streets kids risen through the ranks."
24,(2001–2010),44 min,"
Action, Crime, Drama            ",8.3,"
Jack Bauer races against the clock to subvert terrorist plots and save his nation from ultimate disaster."
Justified,(2010–2015),44 min,"
Action, Crime, Drama            ",8.6,"
U.S. Marshal Raylan Givens is reassigned from Miami to his childhood home in the poor, rural coal mining towns of eastern Kentucky."
The Punisher,(2017–2019),53 min,"
Action, Crime, Drama            ",8.5,"
After the murder of his family, Marine veteran Frank Castle becomes the vigilante known as ""The Punisher,"" with only one goal in mind: to avenge them."
Scorpion,(2014–2018),43 min,"
Action, Crime, Drama            ",7.1,"
An eccentric genius forms an international network of super-geniuses to act as the last line of defense against the complicated threats of the modern world."
Q-Force,(2021– ),30 min,"
Animation, Action, Adventure            ",6.2,"
A handsome secret agent and his team of LGBTQ superspies embark on extraordinary adventures."
Banshee,(2013–2016),60 min,"
Action, Crime, Drama            ",8.4,"
An ex-con assumes the identity of a murdered sheriff in the small town of Banshee, Pennsylvania, where he has some unfinished business."
Hit and Run,(2021),,"
Action, Crime, Drama            ",7.1,"
A happily married man's life is turned upside down when his wife is killed in a mysterious hit-and-run accident in Tel Aviv."
Queen of the South,(2016–2021),42 min,"
Action, Crime, Drama            ",8.0,"
Teresa flees Mexico after her drug-runner boyfriend is murdered. Settling in Dallas she looks to become the country's reigning drug smuggler and to avenge her lover's murder."
Person of Interest,(2011–2016),43 min,"
Action, Crime, Drama            ",8.4,"
An ex-CIA agent and a wealthy programmer save lives via a surveillance AI that sends them the identities of civilians involved in impending crimes. However, the details of the crimes, including the civilians' roles, are left a mystery."
NCIS: New Orleans,(2014–2021),42 min,"
Action, Crime, Drama            ",6.8,"
Follows an NCIS team that investigates criminal cases involving military personnel in The Big Easy, a city known for its music, entertainment, and decadence."
Longmire,(2012–2017),60 min,"
Action, Crime, Drama            ",8.3,"
Walt Longmire is the dedicated and unflappable sheriff of Absaroka County, Wyoming. Widowed only a year, he is a man in psychic repair but buries his pain behind his brave face, unassuming grin and dry wit."
Warrior,(2019– ),60 min,"
Action, Crime, Drama            ",8.4,"
During the Tong Wars in the late 1800s, Ah Sahm, a martial arts prodigy from China, immigrates to San Francisco and becomes a hatchet man for the most powerful tong in Chinatown."
Barry,(2018– ),30 min,"
Action, Comedy, Crime            ",8.3,"
A hit man from the Midwest moves to Los Angeles and gets caught up in the city's theatre arts scene."
Jessica Jones,(2015–2019),56 min,"
Action, Crime, Drama            ",7.9,"
Following the tragic end of her brief superhero career, Jessica Jones tries to rebuild her life as a private investigator, dealing with cases involving people with remarkable abilities in New York City."
CSI: Miami,(2002–2012),43 min,"
Action, Crime, Drama            ",6.4,"
The cases of the Miami-Dade, Florida police department's Crime Scene Investigations unit."
Burn Notice,(2007–2013),44 min,"
Action, Crime, Drama            ",7.9,"
A spy recently disavowed by the U.S. government uses his special ops training to help others in trouble."
Harley Quinn,(2019– ),23 min,"
Animation, Action, Adventure            ",8.5,"
The series focuses on a single Harley Quinn, who sets off to make it on her own in Gotham City."
Magnum P.I.,(2018– ),43 min,"
Action, Adventure, Crime            ",5.9,"
An ex-Navy SEAL returns from Afghanistan and uses his military skills to become a private investigator in Hawaii."
L.A.'s Finest,(2019–2020),60 min,"
Action, Comedy, Crime            ",6.1,"
The spinoff series of Bad Boys films focuses on drug enforcement agent Sydney Burnett, now working for the Los Angeles Police Department."
Gangs of London,(2020– ),,"
Action, Crime, Drama            ",8.1,"
Tells the story of London being torn apart by the turbulent power struggles of its international gangs and the sudden power vacuum that's created when the head of London's most powerful crime family is assassinated."
Major Crimes,(2012–2018),43 min,"
Action, Crime, Drama            ",7.7,"
The Closer (2005) spin-off series, which follows Captain Raydor of the Los Angeles Police Department."
Lethal Weapon,(2016–2019),44 min,"
Action, Comedy, Crime            ",7.9,"
A slightly unhinged cop is partnered with a veteran detective trying to maintain a low stress level in his life."
Iron Fist,(2017–2018),55 min,"
Action, Adventure, Crime            ",6.4,"
A young man is bestowed with incredible martial arts skills and a mystical force known as the Iron Fist."
Spooks,(2002–2011),60 min,"
Action, Crime, Drama            ",8.2,"
The missions of MI-5, the UK's domestic intelligence organization."
Code 404,(2020– ),25 min,"
Action, Comedy, Crime            ",6.3,"
A British detective killed in action is brought back to life using experimental Artificial Intelligence."
CSI: NY,(2004–2013),43 min,"
Action, Crime, Drama            ",6.9,"
CSI head Detective Mac Taylor and his team solve crimes using forensic science in New York City."
Sleepy Hollow,(2013–2017),45 min,"
Action, Adventure, Crime            ",7.4,"
Ichabod Crane is resurrected and pulled two and a half centuries through time to unravel a mystery that dates all the way back to the founding fathers."
Luke Cage,(2016–2018),55 min,"
Action, Crime, Drama            ",7.3,"
When a sabotaged experiment gives him super strength and unbreakable skin, Luke Cage becomes a fugitive attempting to rebuild his life in Harlem and must soon confront his past and fight a battle for the heart of his city."
Young Justice,(2010– ),23 min,"
Animation, Action, Adventure            ",8.6,"
Teenage superheroes strive to prove themselves as members of the Justice League."
Wu Assassins,(2019),44 min,"
Action, Crime, Drama            ",6.4,"
A warrior chosen as the latest and last Wu Assassin must search for the powers of an ancient triad and restore balance in San Francisco's Chinatown."
Pennyworth,(2019– ),60 min,"
Action, Crime, Drama            ",7.9,"
The origin story of Alfred Pennyworth, a former special-forces soldier living in London and how he came to work for Bruce Wayne's father."
Geomeun Taeyang,(2021– ),,"
Action, Crime, Drama            ",8.7,"
A spy investigation show with a story about a top National Intelligence Service (NIS) agent. In his endeavor to uncover the internal traitor that brought him to his downfall, he confronts a much bigger enemy behind the organization."
Nikita,(2010–2013),60 min,"
Action, Crime, Drama            ",7.6,"
A rogue assassin returns to take down the secret organization that trained her."
Covert Affairs,(2010–2014),60 min,"
Action, Crime, Drama            ",7.3,"
Fresh out of the farm, Annie Walker must adapt to the challenging life of a CIA operative under the guidance of her handler, Auggie. But soon she realizes her recruit might have to do with her last boyfriend rather than her talent."
Happy!,(2017–2019),60 min,"
Action, Comedy, Crime            ",8.2,"
An injured hitman befriends his kidnapped daughter's imaginary friend - a perky blue flying unicorn."
From Dusk Till Dawn: The Series,(2000–2016),45 min,"
Action, Crime, Fantasy            ",6.9,"
A Texas Ranger is in hot pursuit of the infamous Gecko brothers and their hostages. They all end up trapped in a desert bar secretly run by vampires and discover a vampire conspiracy."
Rookie Blue,(2010–2015),42 min,"
Action, Crime, Drama            ",7.7,"
Andy McNally and her friends are out of the academy and must adjust to the challenging life of a police officer at the 15th Division in Toronto."
Deadly Class,(2018–2019),60 min,"
Action, Adventure, Comedy            ",7.6,"
A coming-of-age story set against the backdrop of late 1980s counterculture, which follows a disillusioned teen recruited into a storied high school for assassins."
Flashpoint,(2008–2012),41 min,"
Action, Crime, Drama            ",7.7,"
The missions and trials of a Toronto police tactical unit."
The Glades,(2010–2013),60 min,"
Action, Crime, Drama            ",7.5,"
A former Chicago cop moves to a small Florida town and joins the state police."
M.O.D.O.K.,(2021– ),22 min,"
Animation, Action, Comedy            ",6.3,"
It centers around an egomaniacal supervillain with a really big head and a really little body, who struggles to maintain control of his evil organization and his demanding family."
Paradise PD,(2018– ),28 min,"
Animation, Action, Comedy            ",6.8,"
Animated series about bad cops. Not bad as in corrupt, bad as in under-performing. They aren't first responders, they are the worst responders."
La Reina del Sur,(2011–2019),378 min,"
Action, Crime, Drama            ",8.0,"
Teresa Mendoza returns to Mexico after 8 years to fight with Mexican drug dealers."
Teenage Mutant Ninja Turtles,(2012–2017),24 min,"
Animation, Action, Adventure            ",7.8,"
Four ninja turtles, mutated by a mysterious alien substance, must rise up out of the sewers and defend their city against evil forces from both the past and present."
Graceland,(2013–2015),42 min,"
Action, Crime, Drama            ",7.7,"
A rookie FBI agent is sent to a house for undercover agents in Southern California, where he is trained by a former legend FBI agent."
Wanted,(2016–2018),60 min,"
Action, Crime, Drama            ",7.7,"
Two strangers are prime suspects in a murder."
Underbelly,(2008–2013),60 min,"
Action, Crime, Drama            ",8.1,"
Each season of this multi award winning Television series takes you through a 13 episode run in the rise and fall of real life Australian underworld figures as told from both sides of the law."
Almost Human,(2013–2014),60 min,"
Action, Crime, Drama            ",8.0,"
In a not-so-distant future, a human cop and an android partner team up to protect and serve."
The Batman,(2004–2008),22 min,"
Animation, Action, Adventure            ",7.3,"
Billionaire Bruce Wayne fights crime and evil as the mysterious Batman."
Transporter: The Series,(2012–2014),48 min,"
Action, Crime            ",6.5,"
Frank Martin is an ex special ops, who now spends his life as a transporter on the other side of the law. With three rules, he always completes his contracts. One way, or the other."
Sea Patrol,(2007–2011),42 min,"
Action, Crime, Drama            ",7.5,"
Following the crew of the patrol boat HMAS Hammersley, as they patrol the northern sea border of Australia. They have to deal with foreign fishermen poaching fish, smugglers and with political unrest in a neighbouring island state."
Trese,(2021– ),33 min,"
Animation, Action, Adventure            ",7.1,"
Set in Manila where the mythical creatures of Philippine folklore live in hiding amongst humans, Alexandra Trese finds herself going head to head with a criminal underworld comprised of malevolent supernatural beings."
Rogue,(2013–2017),50 min,"
Action, Crime, Drama            ",6.9,"
Grace, an undercover detective, is tormented by the possibility that she might have contributed to her son's mysterious death. While trying to uncover the truth, she gets involved with a dangerous criminal."
Crossing Lines,(2013–2015),43 min,"
Action, Crime, Drama            ",7.3,"
A special crime unit investigates serialized crimes that cross over European borders, to hunt down criminals and bring them to justice."
Angie Tribeca,(2016–2018),30 min,"
Action, Comedy, Crime            ",7.0,"
Lone-wolf detective Angie Tribeca and a squad of committed LAPD detectives investigate the most serious cases, from the murder of a ventriloquist to a rash of baker suicides."
Deputy,(2020),44 min,"
Action, Crime, Drama            ",6.3,"
Deputy Bill Hollister, a career lawman who is very comfortable kicking down doors, but is utterly lost in a staff meeting, becomes acting sheriff of Los Angeles County when the sheriff drops dead."
The Blacklist: Redemption,(2017),43 min,"
Action, Crime, Drama            ",7.1,"
Covert operative Tom Keen joins forces with Susan ""Scottie"" Hargrave, the brilliant and cunning chief of a covert mercenary organization that solves problems that are too dangerous for the government."
Mortal Kombat,(2011–2013),10 min,"
Short, Action, Adventure            ",7.4,"
The first season of Mortal Kombat: Legacy is a prequel to the original game, explaining the background stories of several characters from the series and demonstrating their reasons for ...                See full summary »
"
Black Lagoon,(2006),25 min,"
Animation, Action, Adventure            ",8.0,"
A Japanese businessman, captured by modern-day pirates, is written off and left for dead by his company. Tired of the corporate life, he opts to stick with the mercenaries that kidnapped him, becoming part of their gang."
Shades of Blue,(2016–2018),60 min,"
Action, Crime, Drama            ",7.0,"
Harlee Santos, New York police officer and single mother, is forced to work in the F.B.I.'s anti-corruption task force while dealing with her own financial problems."
Kuroshitsuji,(2008–2010),24 min,"
Animation, Action, Comedy            ",7.7,"
A young boy sells his soul to a demon in order to avenge his family's death and successfully lead their influential toy manufacturing company. The demon takes the form of a loyal butler who's always dressed in black and is required to protect, serve and arrive whenever summoned by his young master Ciel."
Rush Hour,(2016),43 min,"
Action, Comedy, Crime            ",5.7,"
TV show based on the action-comedy 'Rush Hour' films about an L.A. cop who teams up with a detective from Hong Kong."
Fast & Furious Spy Racers,(2019– ),23 min,"
Animation, Action, Crime            ",5.5,"
A team of teenage street racers are hired to infiltrate a criminal gang."
The Family Business,(2018– ),50 min,"
Action, Crime, Drama            ",6.2,"
By day, the Duncans are an upstanding family who run a thriving exotic car dealership in New York. By night, they live a dangerous secret life. When they come under siege the Duncans will have to stick together or die separately."
Odd Squad,(2014– ),27 min,"
Action, Adventure, Comedy            ",6.5,"
Geared for children ages 5-8, ""Odd Squad"" follows two young agents, Olive and Otto, who are part of an agency that seeks to save the day using math when odd things happen."
The Dresden Files,(2007–2008),60 min,"
Action, Crime, Drama            ",7.7,"
A Chicago-based wizard works as a private investigator."
Training Day,(2017),42 min,"
Action, Crime, Drama            ",6.0,"
TV follow-up to the 2001 film 'Training Day' about a rookie cop partnered with a corrupt officer."
24: Legacy,(2016–2017),41 min,"
Action, Crime, Drama            ",6.2,"
A military hero who returns to the U.S. with a whole lot of trouble following him back. With nowhere else to turn, the man asks CTU to help him save his life while also stopping one of the largest-scale terror attacks on American soil."
Ransom,(2017–2019),44 min,"
Action, Crime, Drama            ",6.6,"
A team of crisis negotiators travel the globe to help multinational corporations and governmental agencies with complex negotiations and conflict resolution."
Batman: The Brave and the Bold,(2008–2011),30 min,"
Animation, Action, Adventure            ",7.3,"
An updated animated series centering on the Caped Crusader himself as he partners and deals with his fellow superheroes in the DC Comics universe."
Rejseholdet,(2000–2004),75 min,"
Action, Crime, Drama            ",8.2,"
A mobile task force is dispatched across Denmark to help local police solve tough cases."
Legends,(2014–2015),60 min,"
Action, Crime, Drama            ",7.5,"
Follows a deep-cover operative named Martin Odum, who has an uncanny ability to transform himself into a different person for each job. But his own identity comes into question when a ...                See full summary »
"
Bulletproof,(2018–2021),60 min,"
Action, Crime, Drama            ",6.6,"
Action drama following Bishop and Pike; two NCA agents taking down hardened criminals in London."
Human Target,(2010–2011),60 min,"
Action, Adventure, Crime            ",7.7,"
A unique bodyguard protects his clients by secretly infiltrating their lives in order to draw out and eliminate threats."
Alcatraz,(2012),60 min,"
Action, Crime, Drama            ",7.0,"
In 1963, all the prisoners and guards mysteriously disappear from Alcatraz. In the present day, they resurface and a secret agency are tasked with re-capturing them."
Comrade Detective,(2017),40 min,"
Action, Comedy, Crime            ",7.3,"
Parody comedy designed to resemble a non-existent gritty 1980's Cold War Romanian police show that promoted Communist ideals. The action-packed and blood-soaked first season finds Detectives Gregor Anghel and Joseph Baciu investigating the murder of fellow officer Nikita Ionescu and, in the process, unraveling a subversive plot to destroy their country that is fueled by what-else-but the greatest...                See full summary »
"
The Beast,(2009),60 min,"
Action, Crime, Drama            ",7.8,"
A veteran F.B.I. Agent is assigned a new partner, unaware that he was recruited as a double agent to investigate his activities."
Spider-Man,(2003),21 min,"
Animation, Action, Adventure            ",7.0,"
A young man with spider like abilities fights crime as a superhero in New York City while trying to have a normal personal life."
M.I.High,(2007–2014),28 min,"
Action, Comedy, Crime            ",6.3,"
Four school children work for MI9, and fight against a criminal agency called skul."
Danganronpa: Kibô no gakuen to zetsubô no kôkôsei - The animation,(2013),25 min,"
Animation, Action, Crime            ",6.9,"
A group of 15 elite high school students are gathered at a very special, high class high school. To graduate from this high school essentially means you'll succeed in life, but graduating ...                See full summary »
"
Powers,(2015–2016),42 min,"
Action, Crime, Drama            ",6.7,"
Set in a world where humans and super heroes co-exist, a homicide detective, who had his own powers taken from him, investigates crimes involving superhumans along with his partner."
Black Dynamite,(2011–2015),22 min,"
Animation, Action, Adventure            ",8.1,"
Action comedy-spoof that follows ex-C. I. A. Agent and full-time ladies man, Black Dynamite, who's out to avenge the death of his brother against kung-fu masters, drug-dealing pimps, and The Man."
Drzavni sluzbenik,(2019– ),,"
Action, Crime, Drama            ",8.3,"
A young, ambitious Serbian Secret Service agent negotiates the dangerous rules of the modern century international spy game"
Chase,(2010–2011),60 min,"
Action, Crime, Drama            ",7.2,"
A team tracks down fugitive criminals."
Hunter Street,(2017– ),22 min,"
Action, Adventure, Comedy            ",7.0,"
Max, the newest addition to the Hunter family, must team up with his siblings Anika, Sal, Tess, and Daniel to find his foster parents Erik and Kate after they disappear mysteriously one night."
Trackers,(2019– ),60 min,"
Action, Crime, Drama            ",6.5,"
Action series featuring various stories of organized crime, diamond smuggling, Black Rhinos, the CIA and terrorism in Cape Town, South Africa."
Curfew,(2019– ),60 min,"
Action, Crime, Drama            ",6.1,"
A group of amateur drivers from all over the world compete in an illegal night-time street race."
Vegas,(2012–2013),44 min,"
Action, Crime, Drama            ",7.3,"
Ralph Lamb, a former MP for the US Army, becomes sheriff. His brother, Jack, and his son, Dixon, are deputized. Meanwhile, Vincent Savino comes from Chicago to Vegas to run The Savoy hotel and casino."
The Player,(2015),60 min,"
Action, Crime, Drama            ",7.0,"
A former intelligence and FBI officer, who now works as a security expert in Las Vegas, is recruited by mysterious pit boss Mr. Johnson to, based on his tips, try to prevent crimes, while the rich place bets on his chances of success."
Black Scorpion,(2001),,"
Action, Crime, Drama            ",6.2,"
The City of Angels is falling apart, and crime pervades the city to the core. The mayor is corrupt, the police are inept, the city needs a figure to take control of the situation. Then in ...                See full summary »
"
Generator Rex,(2010–2013),24 min,"
Animation, Action, Adventure            ",7.6,"
In a future where humans are infected by untested, microscopic robots, a young man with the ability to control the bots helps a government agency control the tech's vicious creations."
Those Who Kill,(2014),60 min,"
Action, Crime, Drama            ",7.2,"
Follows Catherine Jensen, a recently promoted homicide detective who enlists the help of Thomas Schaeffer, a forensic psychologist, to track down serial killers and relentlessly seeks the ...                See full summary »
"
Baccano!,(2007–2008),384 min,"
Animation, Action, Adventure            ",8.3,"
A crazy fantasy caper involving alchemists, immortals, gangsters, outlaws and an elixir of immortality, spread over several decades."
Quantum Break,(2016),20 min,"
Action, Crime, Drama            ",7.9,"
Bridging gaming and live-action, the thriller looks into aspect the villains of the game and the dramatic backstory as it unfolds."
Flying Tiger,(2018– ),,"
Action, Adventure, Crime            ",7.0,"
A mysterious gang, The Black Snake Gang, is rising throughout the world. After a dangerous heist of a mysterious device from the FBI, the HKPD assigns Ko Ka Chun, to save Hong Kong from the imminent threat from the Black Snake Gang."
Detroit 1-8-7,(2010–2011),42 min,"
Action, Crime, Drama            ",7.6,"
The everyday trials and tribulations of Detroit's homicide unit."
Dark Blue,(2009–2010),60 min,"
Action, Crime, Drama            ",7.5,"
Officer Carter Shaw and his team go undercover - sometimes too deep, among the criminals of modern-day Los Angeles."
Power Rangers Time Force,(2001),30 min,"
Action, Adventure, Crime            ",7.1,"
The Time Force Power Rangers travel to the past to stop Ransik and his band of criminal mutants."
Fear Thy Neighbor,(2014–2021),44 min,"
Action, Crime, Drama            ",7.7,"
True crime show about conflicts between neighbors that go terribly wrong."
The Firm,(2012),60 min,"
Action, Crime, Drama            ",7.1,"
Defense Attorney Mitch McDeere is targeted for execution by the Chicago Mob in retaliation for bringing down a profitable Mob-operated Memphis law firm ten years earlier."
Ghost in the Shell SAC_2045,(2020– ),25 min,"
Animation, Action, Crime            ",6.2,"
Hired as a mercenary unit, the former members of Japan's elite Section 9 are faced with the sudden appearance of ""Post-Human,"" a being with tremendous intelligence and physical capabilities."
Devils Line,(2018– ),24 min,"
Animation, Action, Crime            ",6.9,"
Vampires seem to be living among humans. Of course the government does not know of their existence, because their appearance does not differ from humans. They also do not need to drink ...                See full summary »
"
A Touch of Cloth,(2012–2014),60 min,"
Action, Comedy, Crime            ",7.9,"
DCI Jack Cloth and DC Anne Oldman are paired to investigate a series of grisly murders done by a devious killer."
Gang Related,(2014),46 min,"
Action, Crime, Drama            ",7.6,"
As kid, Ryan Lopez got connected to gang boss Javier Acosta. He's now detective in LAPD's Gang Task Force. While secretly passing info on to Javier, he's a good cop 95% of the time."
Danger Mouse,(2015–2019),22 min,"
Animation, Action, Adventure            ",7.1,"
The continuing adventures of secret agent Danger Mouse and his sidekick Penfold."
