Title,Year,Runtime,Genre,Rating,Summary
Fastlane,(2002–2003),60 min,"
Action, Comedy, Crime            ",7.5,"
Two hotshot undercover cops and their equally tough female handler take down the highest and lowest criminals in L.A. in this pop-culture-heavy, dark, flashy, over-the-top action crime dramedy inspired by Bad Boys and Miami Vice."
Special Unit 2,(2001–2002),60 min,"
Action, Comedy, Crime            ",7.6,"
Detectives Kate Benson and Nick O'Malley from a secret Chicago P.D. unit solve violent crimes committed by mythological creatures aka 'Links' while trying to hide the Links existence from the general public."
Flikken Maastricht,(2007– ),50 min,"
Action, Crime, Drama            ",7.4,"
The personal and professional lives of two police detectives, and their colleagues in uniform, unfold in the picturesque town of Maastricht, in the south of The Netherlands."
Stripperella,(2003–2004),30 min,"
Animation, Action, Comedy            ",5.6,"
Pamela Anderson provides the voice of Erotica Jones who is stripper by night and superhero Stripperella by even later at night."
Drive,(2007),60 min,"
Action, Adventure, Crime            ",7.7,"
A drama about various people competing in an illegal cross-country road race."
Vegas,(2021– ),,"
Action, Crime            ",6.0,"
Vegas is set in a fictional world very like modern-day Aotearoa, but in truth it could be a thousand-year tale of warring Norsemen."
Ryan Hansen Solves Crimes on Television,(2017–2019),30 min,"
Action, Comedy, Crime            ",7.2,"
In a world where Hollywood actors can partner up with real cops to solve crimes on their shows, a no-nonsense cop is forced to team up with an air-headed actor, Ryan Hansen, for his new YouTube Premium crime reality show/meta sitcom."
The Chicago Code,(2011),44 min,"
Action, Crime, Drama            ",7.7,"
Detective Jarek Wysocki, one of Chicago's toughest cops, struggles to clean up the town's violence and corruption."
Deathstroke: Knights & Dragons,(2020),92 min,"
Animation, Action, Adventure            ",6.6,"
Ten years ago, Slade Wilson-aka the super-assassin called Deathstroke-made a tragic mistake and his wife and son paid a terrible price. Now, a decade later, Wilson's family is threatened once again."
T.U.F.F. Puppy,(2010–2015),,"
Animation, Short, Action            ",5.7,"
A secret agent labradoodle is recruited into a task force called T.U.F.F and fights injustice throughout the city in which he lives."
XIII: The Series,(2011–2012),45 min,"
Action, Crime, Drama            ",6.6,"
An amnesiac secret operative is being used by unknown groups to cover up dirty business involving high ranking officials from the CIA."
Traveler,(2007),45 min,"
Action, Crime, Mystery            ",8.2,"
Jay and Tyler find themselves hunted by the FBI after a bombing of a museum. Their only lead is their best friend, Will Traveler, who disappeared after the bombing and is not in any record ...                See full summary »
"
Fillmore!,(2002–2004),30 min,"
Action, Animation, Comedy            ",7.7,"
Former delinquent now fights for the good guys at X Middle School."
The Kill Point,(2007),,"
Action, Crime, Drama            ",7.3,"
A group of military veterans, who recently returned home from serving in Iraq, band together to pull off a major bank heist."
Seis Manos,(2019– ),27 min,"
Animation, Action, Adventure            ",7.2,"
Orphans raised by a martial arts master are plunged into a mystery involving demonic powers, drug cartels, ancient rituals and blood sacrifice."
Shadow hunters,(2017– ),45 min,"
Action, Crime, Drama            ",6.9,"
Adventures of an anti-terrorism special forces team."
Matador,(2014),48 min,"
Action, Crime, Sci-Fi            ",5.8,"
DEA agent Tony Bravo is recruited by the CIA to participate in tryouts for the LA Riot in order to spy on the team's corrupt owner."
The Border,(2008–2010),60 min,"
Action, Crime, Drama            ",7.0,"
The cases of the Canadian Immigration and Customs Security Squad."
Hunter,(2003),60 min,"
Action, Adventure, Crime            ",7.2,"
Tough Homicide detective Rick Hunter and his beautiful partner Dee Dee McCall screech tires and chase bad guys around San Diego."
#FreeRayshawn,(2020),,"
Short, Action, Crime            ",6.3,"
A black military veteran finds himself in a showdown with a New Orleans SWAT team and tries to talk his way out of the situation with the help of a sympathetic officer."
Mammon,(2014–2016),58 min,"
Action, Crime, Mystery            ",6.8,"
A newspaper journalist revealing fraud in a large multinational company, finds his family involved, ruining his career, family relations, and entangles him in a following mystery."
Queen Sono,(2020–2021),43 min,"
Action, Crime, Drama            ",5.9,"
A drama about a secret agent who fights crime while dealing with crises in her personal life."
Big Dogs,(2020– ),52 min,"
Action, Crime, Mystery            ",5.7,"
BIG DOGS exists in an alternate reality of New York City. Businesses are shuttered, crime is rampant, black markets thrive. Drug are run via taxis and NYPD detectives use taxis for undercover teams trying to rein in the chaos."
Durham County,(2007–2010),60 min,"
Action, Crime, Drama            ",7.4,"
They say there's only six degrees of separation between you and anyone else in the world, but sometimes it's not even that. Sometimes the most brutal evil you can imagine is already in your...                See full summary »
"
The Inspectors,(2015–2019),30 min,"
Short, Action, Adventure            ",5.5,"
Amanda Wainwright is a single mom who works as a US Postal Inspector while son Preston is a forensics lab intern. Amanda's partner is Mitch who helps deliver a message after each case is solved."
Street Fighter: Resurrection,(2016– ),,"
Action, Crime, Sci-Fi            ",6.4,"
The long-presumed dead Charlie Nash is back, and is targeting legendary Street Fighter champions for mysterious reasons. Ken and Ryu must uncover his lethal plan and discover if he is ally or enemy."
Jormungand,(2012),24 min,"
Animation, Action, Crime            ",7.5,"
Jormungand focuses on a travelling merchant and on a one hell of a Scandinavian beauty, Koko Hekmatyar. She also has a group of happy friends that help Koko avoid the trouble. However, our ...                See full summary »
"
Juda,(2017– ),45 min,"
Action, Crime, Drama            ",7.2,"
Juda Ben Haim is a showy little thug, on his way to the biggest gambling in Romania with the money of a dangerous French mobster. A mysterious and beautiful woman shows up and changes all the picture."
Decker,(2014– ),11 min,"
Action, Comedy, Crime            ",8.0,"
CIA agent Jack Decker has to save the United States from terrorists due to an incompetent president."
New York Is Dead,(2017– ),51 min,"
Action, Comedy, Crime            ",7.9,"
A darkly hilarious series about two broke New York City artists who become hired killers to make ends meet."
Sweet/Vicious,(2016–2017),38 min,"
Action, Comedy, Crime            ",7.7,"
Hell-bent on bringing justice to those who get away with abuse on their college campus, Jules and Ophelia take on double lives as wannabe vigilantes."
Taxi Brooklyn,(2014),43 min,"
Action, Comedy, Crime            ",6.3,"
A tough NYPD detective and a French NYC taxi driver/consultant solve cases in Brooklyn and look for her dad's killer."
Tale of Tails,(2021– ),,"
Action, Crime, Mystery            ",8.6,"
Tails is not a white-collar gentlemen's club. It's a borderline-legal bar with topless dancers and a back room where anything goes for the right price. Nick, the owner, keeps Tails afloat ...                See full summary »
"
Lola: Érase una vez,(2007– ),42 min,"
Action, Comedy, Crime            ",5.8,"
A poor and beautiful girl, named Lola meets a rich ""Prince Charming"" named Alexander Von Ferdinand and falls in love of him, but she would need to fight the evil stepmother and stepsisters."
Loonatics Unleashed,(2005–2007),30 min,"
Animation, Action, Adventure            ",5.6,"
The futuristic descendants of the Looney Tunes characters become superheroes when the aftershock of an alien meteor grants them each with strange new powers."
18 Wheels of Justice,(2000–2001),60 min,"
Action, Crime, Drama            ",6.1,"
Michael Cates is an agent for the Justice Department. His assignment was to infiltrate the organization of Jacob Calder, a deadly and vicious crime boss. He saw Calder kill his mistress. ...                See full summary »
"
El cartel 2 - La guerra total,(2010– ),,"
Action, Crime, Horror            ",6.8,"
Now Pepe Cadena finishes telling the story in which the most powerful drug traffickers in Colombia are strengthened but later fall while he and others dedicate themselves to the dangerous task of exposing them to collaborate with justice."
Judge Dredd: Cursed Edge,(2013– ),,"
Action, Adventure, Crime            ",6.1,"
Six-part web-series set in Judge Dredd's Mega-City One. Judges Hollister, Labelle and Eames are after a dangerous drug supplier who escaped from Brit-Cit as well as a mad war veteran ""Bloodletter"". But there seems to be more to it."
Largo Winch,(2001–2003),48 min,"
Action, Adventure, Crime            ",6.8,"
Largo (Winch) is the illegitimate son of Nerio Winch, a billionaire industrialist, who did business very much in a greyish manner. When Nerio sensed that his time was up he named Largo his ...                See full summary »
"
The Huntress,(2000–2001),60 min,"
Action, Crime, Drama            ",6.5,"
The adventures of mother and daughter bounty hunters."
Long Gone Gulch,(2021– ),,"
Animation, Action, Adventure            ",8.0,"
Two misfits, Snag and Rawhide are chosen as the new sheriffs in a strange town adrift in an ever-moving dust cloud. Long Gone Gulch holds the inhabitants of myths, urban legends, and ...                See full summary »
"
Ninjak vs the Valiant Universe,(2018– ),,"
Action, Adventure, Crime            ",6.9,"
A British intelligence agent and martial artist with a dark, mysterious alter ego battles his way through the heroes and villains of the Valiant Universe."
K-Ville,(2007–2008),60 min,"
Action, Crime, Drama            ",6.5,"
Police officers patrol the streets of New Orleans in the aftermath of Hurricane Katrina."
Mezzo DSA,(2003– ),22 min,"
Animation, Action, Comedy            ",6.6,"
Mikura and her friends are back for more danger then ever in these 13 action packed episodes."
Heist,(2006),60 min,"
Action, Crime, Drama            ",7.0,"
A team of crooks tries to rob three different Beverly Hills jewelers at the same time."
Golgo 13,(2008–2009),,"
Animation, Action, Adventure            ",7.5,"
Duke Togo, a.k.a. Golgo 13, is a highly-skilled assassin hired only by those who pay top-dollar for his services - whether it's the FBI, CIA, industrial corporations or mafias. Regardless ...                See full summary »
"
Hawaii,(2004),60 min,"
Action, Crime            ",6.8,"
Add a Plot
"
There Will Be Brawl,(2009– ),,"
Action, Comedy, Crime            ",8.1,"
In a Dystopian Mushroom Kingdom, corruption and avarice reign supreme. Even the greatest heroes of the land have buckled beneath the overwhelming will of the amoral elite. When a series of ...                See full summary »
"
Peacemakers,(2003),,"
Action, Crime, Drama            ",8.0,"
In the late 1800's a new addition to law enforcement is evolving. Forensic science is in its infancy and the Wild West will never be the same. Enter Federal Marshal Jared Stone, the product...                See full summary »
"
Revisioned: Tomb Raider,(2007),6 min,"
Animation, Action, Adventure            ",6.6,"
The animated adventures of Lara Croft, a famous sexy no-nonsense British aristocrat, who's an expert in the field of tomb raiding. Most episodes are inspired by various popular animation styles ranging from Looney Tunes to Æon Flux."
Hot Streets,(2016–2019),10 min,"
Animation, Action, Comedy            ",5.6,"
An FBI agent, his partner, his niece and her cowardly dog investigate supernatural phenomena."
Mum Bhai,(2020– ),22 min,"
Action, Crime, Drama            ",6.9,"
Mum Bhai is the story of Bhaskar Shetty, a top encounter specialist. His passion to rule the city saw no limits, and he ended up becoming someone he never wished to become. But then someone changed all the rules of his game."
Cop Craft,(2019– ),23 min,"
Animation, Action, Crime            ",6.8,"
15 years ago, an unknown hyperspace gate opened over the Pacific. Beyond this gate lies Reto Semaani, a strange alternate world where fairies and demons live."
Played,(2013–2014),43 min,"
Action, Crime, Drama            ",6.4,"
A special police unit goes undercover to infiltrate criminal organizations."
Noir,(2001– ),25 min,"
Animation, Action, Crime            ",7.2,"
Two beautiful female assassins travel the world accepting assignments to kill various culprits, and at the same time, having deadly traps set against them by their own employer."
V kletke,(2019),50 min,"
Action, Crime, Drama            ",5.7,"
Coming home after 7 years of prison, Sergei known as Volchok is trying to find his way. His mother has completely lost herself into drinking, and his ex-girlfriend Olga has had a son and ...                See full summary »
"
Seven Days,(2019– ),,"
Action, Crime, Drama            ",5.7,"
It tells a story about how a Chinese find her girlfriend back in the US."
The Rookie: CTU,(2007–2008),,"
Action, Adventure, Crime            ",6.8,"
The Rookie CTU stars Jeremy Ray Valdez as Jason Blaine who has joined the LA branch of CTU (Counter Terrorist Unit) . Jason Blaine wants to work in the field but is stuck behind a computer ...                See full summary »
"
Chase Street,(2017– ),,"
Action, Crime, Drama            ",7.8,"
Chase Street is the story of Camden, NJ, the county seat of Camden County, NJ and a city abandoned- by the state, employers, and its middle-class white residents and suburban neighbors-its ...                See full summary »
"
Pacific Heat,(2016–2017),22 min,"
Animation, Action, Comedy            ",5.8,"
A group of ragtag Australian agents working hard to recover their reputation in order to prevent having their team shut down."
Codename: Asero,(2008– ),,"
Action, Crime, Drama            ",7.2,"
Add a Plot
"
Hikari to mizu no Daphne,(2004),25 min,"
Animation, Action, Adventure            ",6.7,"
In the distant future, the earth is almost entirely covered by the ocean, with only small islands and floating cities on the surface. 15-year-old Maia Mizuki is turned down by the ...                See full summary »
"
Bolice,(2015–2017),25 min,"
Action, Comedy, Crime            ",8.6,"
A special police unit of five elite officers, that solves cases the Tunisian Bolice way."
Covert Affairs: Sights Unseen,(2012–2013),4 min,"
Action, Crime, Drama            ",5.8,"
Details of Auggie's undercover operations are explored in this prequel to the show Covert Affairs."
Mindhunters,(2008),,"
Action, Crime, Mystery            ",8.2,"
A team of FBI agents sent for training but they killed one by one."
Torque,(2018– ),,"
Action, Crime, Drama            ",5.5,"
Four friends from all over the world reunite in Bulgaria, where they get caught up with powerful mobsters and are forced to risk their lives in illegal car races."
The Joker Blogs,(2008–2017),,"
Action, Crime, Thriller            ",8.6,"
After his reign of terror in The Dark Knight, the criminal mastermind known as the Joker is now locked up in Arkham Asylum where he continues to wreak havoc as he slowly becomes a threat much greater than anyone expected."
Age of Legends,(2018),40 min,"
Action, Crime, Drama            ",7.4,"
It's about a man Liu Ziguang who lost eight years of his memory and found himself might connected to something really dangerous."
Llama Cop,(2014– ),,"
Action, Comedy, Crime            ",8.1,"
While investigating the murder of his partner, Detective Joe Bauer must team up with the unpredictable rookie Buddy Callahan, who doesn't play by the rules and is also a llama."
Hayate no gotoku!,(2007–2008),24 min,"
Animation, Action, Comedy            ",7.0,"
The Yakuza is after Hayate due to his irresponsible parents' huge gambling debt. He runs into an heiress who falls for him and hires him to be her butler/bodyguard."
My Virtual Escape,(2017–2018),40 min,"
Action, Adventure, Crime            ",8.6,"
A troubled teen named Isaac struggles to find meaning in his life until he comes across a cutting-edge Virtual Reality Helmet called: ""E.V.E""."
Contessa,(2018),,"
Action, Crime, Drama            ",6.0,"
'Contessa' is the story of Bea who, after being accused and imprisoned for a crime she did not commit, is determined to seek revenge on those who took everything and everyone she loved away...                See full summary »
"
Mujer de madera,(2004–2005),60 min,"
Action, Adventure, Crime            ",6.4,"
Marissa is a sweet, caring woman who loses her father in a wild forest fire, then becomes the owner of her father's ranch, ""Las Cúspides"". She is deeply in love with Cesar, but their ...                See full summary »
"
First Responders Live,(2019– ),60 min,"
Documentary, Action, Crime            ",6.0,"
TV series featuring first responders answering emergency calls across the U.S."
Tokko,(2006– ),,"
Animation, Action, Crime            ",6.5,"
When 108 demons free themselves and start killing people, Special Public Safety Task Force, or ""Tokko"" for short, is formed to stop them. Some of the members have demons inside of them and can use them to enhance their own abilities."
FutureWeapons,(2006– ),60 min,"
Documentary, Action, Crime            ",7.5,"
Host Mack checks out the latest and greatest in Military defense--and offense, and introduces the bizarre characters that spend their lives inventing new ways to obliterate the enemy. Big guns, smart bombs; no weapon is off-limits."
Tequila & Bonetti,(2000– ),60 min,"
Action, Comedy, Crime            ",5.9,"
In this soft reboot of Tequila and Bonetti (1992), a tough Italian American cop arrives through an international police exchange program in Rome, Italy, where he is teamed up with his new partner, a sentient local police dog with a cool attitude."
Chernaya koshka,(2016),,"
Action, Crime, Drama            ",5.6,"
The true story of the most famous and bloodthirsty gang of the Stalin era, 'Black Cat', which kept the post-war Moscow in fear. The bandits were seen, their names were known, but they were ...                See full summary »
"
Proper Manors,(2012–2017),22 min,"
Action, Comedy, Crime            ",6.5,"
Proper Manors is a soap opera about a group of recently graduated teenagers in the small town of Proper, USA. They begin to discover that they are all merely pawns in the games that the adults of Proper play."
Fala zbrodni,(2003– ),60 min,"
Action, Crime            ",6.7,"
The script focuses on the work of police officers from the special Organized Crime Unit (OCU). This starts off as an experiment, but quickly becomes a regular unit of the Wroclaw Police ...                See full summary »
"
The Cruise,(2020– ),45 min,"
Action, Crime, Drama            ",9.3,"
How are we going to lift the veiled sheets of the word remember this season? Of course,remember your name,your life, everything that belongs to you, but how will you remember who you are? ...                See full summary »
"
Heat Guy J,(2002–2004),25 min,"
Animation, Action, Adventure            ",7.3,"
Heat Guy J chronicles the adventures of a Special Services officer named Daisuke Aurora (nicknamed ""Dice"") and his android partner known as ""J"". They live and work in the metropolis of ...                See full summary »
"
Sushi Pack,(2007–2009),,"
Animation, Action, Crime            ",5.1,"
Five pieces of crime-fighting sushi work together to protect Wharf City."
Mind Game,(2015),45 min,"
Action, Crime, Drama            ",7.5,"
With the help of a cop, a psychiatrist and a woman who can foretell the future, a brilliant paralegal works to solve an array of perplexing mysteries."
Mobsters,(2013– ),,"
Action, Adventure, Comedy            ",7.3,"
Comedy-Action web-series for kids about two mobsters, Frederico and Arnoldo, and their crazy adventures filled with a lot of action."
Za sklom,(2016– ),60 min,"
Action, Crime, Drama            ",8.3,"
Elite cops are dealing with organized crime, which ranges from drugs through smuggling of refugees to kidnapping and murder. The investigation confirms that the perpetrators are connected to people on highest political levels."
Heroes of the North,(2010–2015),,"
Action, Adventure, Crime            ",5.9,"
Add a Plot
"
Ang babaeng hinugot sa aking tadyang,(2009– ),,"
Action, Crime, Mystery            ",8.0,"
Add a Plot
"
Funky Cops,(2003–2004),,"
Animation, Action, Comedy            ",6.9,"
A 1970's cop show inspired spoof that records the misadventures of two undercover agents on the police force who become stars at a San Francisco disco scene."
C.L.I.F.,(2011– ),60 min,"
Action, Adventure, Crime            ",7.0,"
Wei Lan Tian (Nan Xing Li) visits Yang Zhong Zheng (Terence Cao) in prison and hopes that he can reveal the boss behind a crime syndicate. However, Zhong Zheng is concerned about his ...                See full summary »
"
Kung Fu Femmes,(2008– ),6 min,"
Action, Crime            ",5.7,"
Add a Plot
"
Armed Response,(2013– ),,"
Action, Crime, Thriller            ",6.8,"
A brand new, pulse-pounding show from ""24"" writer Matt Michnovetz, director Justin Lutsky and producer Tom Bannister, ""Armed Response"" is like stepping into a first-person shooter video ...                See full summary »
"
Joaquin Bordado,(2008– ),45 min,"
Action, Adventure, Crime            ",7.4,"
Joaquin Bordado is a man with tattoos all over his body. What is unique about these tattoos are they become alive."
Boston Massacre,(2011– ),,"
Action, Crime, Drama            ",6.2,"
When South Boston Detective, Jack Reilly discovers his sister violently murdered, he will stop at nothing to bring her killer to justice."
Batgirl: Year One,(2009– ),75 min,"
Animation, Action, Adventure            ",7.4,"
Defying her father, Barbara Gordon interviews with a Detective for a spot on the force. She later sneaks into the Justice Society to further her cause."
Territory Cops,(2012– ),30 min,"
Action, Adventure, Crime            ",7.9,"
A look into the daily life of the police in the Northern Territory."
Babangon ako't dudurugin kita,(2008– ),,"
Action, Crime, Drama            ",8.6,"
Salve is a sweet girl, the kind who would wait hand and foot on her husband. But she lacks the qualities Alfred is looking for in a wife. He wants a woman who can be his business partner, ...                See full summary »
"
Modern Warfare: Frozen Crossing,(2010– ),,"
Action, Crime, Thriller            ",8.6,"
Add a Plot
"
A Day in L.A.,(2016– ),,"
Action, Crime, Drama            ",8.8,"
A web series about slices of life in Los Angeles. Each episode is a self contained story, with different characters, actors and locations."
Kailangan ko'y ikaw,(2013– ),30 min,"
Action, Crime, Drama            ",7.5,"
Gregorio, a police, became close to the two sisters that has a connection to a crime that his father became involved despite of his innocence. Now, he faces experiences about love, lies, and family."
Undercover,(II) (2016– ),,"
Action, Crime, Thriller            ",8.4,"
Add a Plot
"
The Task,(2016– ),,"
Action, Crime, Drama            ",6.7,"
Jorge Ramos attempts to take down numerous violent robbers, corrupt policemen and conspiring terrorists of all things. It'll take a little more than a quick trigger finger and keeping his enemies closer."
Bullseye: The Man Who Never Misses,(2017– ),19 min,"
Action, Crime, Drama            ",7.1,"
Witness the origin of one of Marvel Comic's most infamous villains, as Bullseye goes from a blacklisted government assassin, to a local New York enforcer, to a psychopath who gives the ""Man Without Fear"" nightmares."
Tráfico: Every Body Has a Price,(2014– ),35 min,"
Action, Crime, Drama            ",7.5,"
The abandoned son of a sex slave goes undercover to infiltrate a furtive and dangerous sex trafficking ring to find his mother and exact revenge."
Dead End: At the End We Die,(2016– ),,"
Action, Crime, Thriller            ",8.6,"
There sure ain't no angels in Agel City. Nothing but crime, corruption and death. Angel City is more like hell on earth."
The Fugitive Chronicles,(2009– ),,"
Action, Crime, Drama            ",8.5,"
Add a Plot
"
Russkie v Gorode Angelov,(2003– ),52 min,"
Action, Crime            ",5.4,"
Semi-retired Moscow detective, Somov, is hired as a consultant on various LAPD investigations involving the Russian-Los Angeles community."
Deadly Shootouts,(2016– ),22 min,"
Documentary, Action, Crime            ",7.9,"
Time stands still when bullets fly and answers lie hidden beneath the settling smoke. The greatest gunfights and their notorious characters come to life in Deadly Shootouts."
The Rascal,(2016–2019),,"
Action, Crime, Drama            ",8.6,"
Homicide detective Ben Radner is investigating a death and discovers that it is much more than just a murder."
Jozi Streets,(2004– ),,"
Action, Crime            ",8.1,"
Jozi Streets is a South African police television drama series that follows a crack team of cops dealing with the serious crimes poisoning South Africa's richest, most vibrant city. Each ...                See full summary »
"
The Wrong Guys for the Job,(2012– ),,"
Action, Comedy, Crime            ",6.4,"
The Wrong Guys For The Job is an interactive web series about two low-level criminals who are willing to take any job to work their way up in the organized crime world."
Splinter Cell: Extinction,(2011– ),12 min,"
Action, Crime, Mystery            ",7.8,"
Add a Plot
"
Borderline Coyotes,(2012– ),22 min,"
Action, Crime            ",7.7,"
Three brothers work as Coyotes for the biggest Mob Boss in Los Angeles. This pack of Coyotes specializes in human smuggling. They bring people across the United States border from Mexico ...                See full summary »
"
La vendetta,(2007– ),,"
Action, Crime, Drama            ",7.0,"
A story of three sisters with different personalities and secrets. Their individual differences will put sibling rivalry to another level and push one of them to the extreme."
SAYÓN: The Executioner,(2010– ),,"
Action, Crime, Drama            ",9.0,"
Add a Plot
"
Under Covers,(2015– ),18 min,"
Short, Action, Comedy            ",8.2,"
UNDER COVERS follows the lives and mishaps of two undercover detectives who take on crimes of the heart, all while trying to find their own way towards happiness."
Six Feet Down Under,(2015– ),13 min,"
Short, Action, Crime            ",7.8,"
For elite assassin Mick Grayson to Escape his past, he must first fight for his Future."
Hitman 101,(2011– ),,"
Action, Crime, Mystery            ",8.4,"
Add a Plot
"
Deep Undercover,(I) (2016– ),,"
Action, Crime, Drama            ",8.2,"
Add a Plot
"
Fantastic Man,(2007– ),60 min,"
Action, Crime, Fantasy            ",6.8,"
As a young boy, Fredo lived happily in the province with his parents Danny and Linda, together with his Lola Cedes, until his simple life was shattered when a group of armed bandits ...                See full summary »
"
Bench,(2017– ),2 min,"
Action, Adventure, Crime            ",8.8,"
Add a Plot
"
Hot Pursuit,(2006– ),,"
Action, Crime, Reality-TV            ",6.1,"
From high-speed chases, to dangerous crashes, this caught-on-tape series features the a range of police footage -- much of it taken from the dashboard-mounted cameras in the police vehicles themselves."
Deteqtivebi,(2010– ),45 min,"
Action, Crime, Mystery            ",7.6,"
The investigated crimes are various: robberies, serial murders, family violence, minor felonies, drug-trafficking, maniac crimes, trafficking."
Call Me Cobra,(2004),5 min,"
Short, Action, Comedy            ",5.9,"
Add a Plot
"
Touye Pwen: Kill Point,(2011– ),,"
Action, Crime            ",8.5,"
After six years in prison, a young man must face his past demons to finally move forward. Surrounded by the most vicious streets gangs, crime lords, and ruthless killers... he will do whatever it takes to achieve his objective."
Psycho City,(2019– ),,"
Animation, Action, Crime            ",6.6,"
Add a Plot
"
